step,uav_x,uav_y,jammer_power,uav_energy,node_0_sinr,node_0_aoi,node_0_energy,node_1_sinr,node_1_aoi,node_1_energy,node_2_sinr,node_2_aoi,node_2_energy,node_3_sinr,node_3_aoi,node_3_energy,node_4_sinr,node_4_aoi,node_4_energy,reward,jammed_count
1,699.7500520789932,509.99583385413564,0.5706227421760559,74247.14589449996,0.18496159869160317,1.0,0.0012431158960112224,0.3236265857910072,1.0,0.0011605772168936284,0.11797584635996138,1.0,0.001352231786081182,0.2745844959139133,1.0,0.001180274423161818,0.029306647547576965,1.0,0.0022626177001482412,5,5
2,699.0008330556052,519.9666833293657,0.6581261157989502,74373.57553809413,0.15620251802889615,2.0,0.002521630881140473,0.28652939386653703,2.0,0.00233543607433577,0.10359140124662525,2.0,0.002746272547089077,0.2290954845653881,2.0,0.0023863191690991197,0.027741649461014508,2.0,0.00459355407259209,5,5
3,697.7542155872085,529.8876264947198,1.2447707653045654,74500.00518168829,0.08056480318236277,3.0,0.004013650537178169,0.15306620418268582,3.0,0.0036186143835384476,0.05554126287547518,3.0,0.004436826090818938,0.11657742649614743,3.0,0.0037421631439764885,0.016061173506541217,3.0,0.007854874347519615,5,5
4,696.0133155682483,539.7338661590122,0.2801763713359833,74626.43482528246,0.34883489261982253,4.0,0.005166247636559972,0.6793135937886732,4.0,0.004721075327462647,0.249825630451047,4.0,0.005629967309510018,0.4973176070107193,4.0,0.004864078209517054,0.07835346302717003,4.0,0.009359332244227938,5,5
5,693.782484342129,549.4807918509046,1.7735594511032104,74752.86446887662,0.053967083766250375,5.0,0.006875443832047061,0.10610292343274533,5.0,0.00610700010607329,0.04016922058153319,5.0,0.0075650861773062916,0.07574351038470159,5.0,0.006384150450292709,0.013626350116428166,5.0,0.013015485910831591,5,5
6,691.0672978251212,559.1040413322679,0.7754011750221252,74879.29411247079,0.12074533416041532,6.0,0.008220768586355218,0.23732069181581114,6.0,0.007307656210245562,0.09334606935233543,6.0,0.008996755710541496,0.16665522738047822,6.0,0.007648388767799963,0.03437892185455567,6.0,0.015099423960099046,5,5
7,687.8745425694758,568.5795614910903,1.0151162147521973,75005.72375606495,0.09038582582685603,7.0,0.009664897772904812,0.17555969710363267,7.0,0.008561071174576617,0.0725698041208926,7.0,0.010537327574721835,0.12259143838906875,7.0,0.008989282558641882,0.02900545527237464,7.0,0.01737461710384864,5,5
8,684.212198800577,577.88366846173,1.1509790420532227,75132.15339965912,0.07820342160823257,8.0,0.01117022508673671,0.14863245246210027,8.0,0.009851177166521688,0.06519636225519902,8.0,0.01213322763351831,0.10415968404812097,8.0,0.010381452680519432,0.028265769743005324,8.0,0.019681830952252812,5,5
9,680.0894204705354,586.9931068222461,1.4171029329299927,75258.58304325328,0.062385807657443115,9.0,0.012790656222114711,0.11500162360152645,9.0,0.011211196687201868,0.053995318145221564,9.0,0.013842079884290752,0.0815499282277997,9.0,0.011868148341100667,0.025342201496867032,9.0,0.02213389821878498,5,5
10,675.5165123780746,595.8851077208406,0.7396043539047241,75385.01268684745,0.11747867856049359,10.0,0.014144162375194428,0.20855094128187984,10.0,0.012432551492939977,0.10553441550215442,10.0,0.015229807998775666,0.15063653192347817,10.0,0.013155072554223561,0.05345530820305643,10.0,0.023849391712150798,5,5
