step,uav_x,uav_y,jammer_power,uav_energy,node_0_x,node_0_y,node_0_sinr,node_0_aoi,node_0_energy,node_0_status,node_0_total_time,node_0_max_continuous_time,node_1_x,node_1_y,node_1_sinr,node_1_aoi,node_1_energy,node_1_status,node_1_total_time,node_1_max_continuous_time,node_2_x,node_2_y,node_2_sinr,node_2_aoi,node_2_energy,node_2_status,node_2_total_time,node_2_max_continuous_time,node_3_x,node_3_y,node_3_sinr,node_3_aoi,node_3_energy,node_3_status,node_3_total_time,node_3_max_continuous_time,node_4_x,node_4_y,node_4_sinr,node_4_aoi,node_4_energy,node_4_status,node_4_total_time,node_4_max_continuous_time,jammed_count
1,480.4399383068085,515.5693280696869,0.07886888086795807,764.3007776909109,33.17857069194763,871.5783881584624,0.029446865229539168,5.0,0.0010584570210717763,2,0.0,0.0,445.6456755016003,880.1745662427677,0.017953655868763102,5.0,0.0010738879993613523,2,0.0,0.0,236.89926880901558,895.5652871979444,0.025864915887305724,5.0,0.0010617952916835848,2,0.0,0.0,10.155857124329204,43.17152794111878,0.03611622283963883,5.0,0.001054005532175321,2,0.0,0.0,188.1008027224058,135.22476181698028,0.04033114289605788,5.0,0.0010519514270059295,2,0.0,0.0,5
2,460.87987661361694,531.1386561393738,0.004101566970348358,1528.6015553818218,33.17857069194763,871.5783881584624,0.5221013816406826,10.0,0.0020941466103424127,2,0.0,0.0,445.6456755016003,880.1745662427677,0.35968558867197736,10.0,0.002110198087741484,2,0.0,0.0,236.89926880901558,895.5652871979444,0.49988985303783184,10.0,0.002097546148344523,2,0.0,0.0,10.155857124329204,43.17152794111878,0.536890980494651,10.0,0.002089657105571445,2,0.0,0.0,188.1008027224058,135.22476181698028,0.6552914285778494,10.0,0.0020873597900777667,2,0.0,0.0,5
3,441.3198149204254,546.7079842090607,0.08696510642766953,2292.9023330727327,33.17857069194763,871.5783881584624,0.0319098057319058,15.0,0.0031507430481880544,2,0.0,0.0,445.6456755016003,880.1745662427677,0.019366772561799573,15.0,0.0031812013539313467,2,0.0,0.0,236.89926880901558,895.5652871979444,0.02890999656015616,15.0,0.003156450817060421,2,0.0,0.0,10.155857124329204,43.17152794111878,0.033160393126490904,15.0,0.0031454145999065698,2,0.0,0.0,188.1008027224058,135.22476181698028,0.036111374256470714,15.0,0.0031413679612536166,2,0.0,0.0,5
4,421.7597532272339,562.2773122787476,0.0027753824833780527,3057.2031107636435,33.17857069194763,871.5783881584624,0.8613317938849986,20.0,0.004185885477879087,2,0.0,0.0,445.6456755016003,880.1745662427677,0.6147347586918587,20.0,0.004216682627102688,2,0.0,0.0,236.89926880901558,895.5652871979444,0.8773681105895902,20.0,0.004191577687286988,2,0.0,0.0,10.155857124329204,43.17152794111878,0.7140865459123168,20.0,0.004180731743429016,2,0.0,0.0,188.1008027224058,135.22476181698028,0.8785680343636324,20.0,0.004176493689529024,2,0.0,0.0,5
5,402.19969153404236,577.8466403484344,0.004123690538108349,3821.5038884545543,33.17857069194763,871.5783881584624,0.6905192827166361,25.0,0.005221237352895999,2,0.0,0.0,445.6456755016003,880.1745662427677,0.4575164456678484,25.0,0.005252566669579907,2,0.0,0.0,236.89926880901558,895.5652871979444,0.6942858016147531,25.0,0.005226923856099682,2,0.0,0.0,10.155857124329204,43.17152794111878,0.5367209171222045,25.0,0.005216383742202073,2,0.0,0.0,188.1008027224058,135.22476181698028,0.6248780641175745,25.0,0.005211955854320353,2,0.0,0.0,5
6,382.63962984085083,593.4159684181213,0.08052809536457062,4585.8046661454655,33.17857069194763,871.5783881584624,0.046372598140472954,30.0,0.006270895643512673,2,0.0,0.0,445.6456755016003,880.1745662427677,0.026349101223317094,30.0,0.006313857666789043,2,0.0,0.0,236.89926880901558,895.5652871979444,0.044185914094880194,30.0,0.0062773397417384596,2,0.0,0.0,10.155857124329204,43.17152794111878,0.035604671758516726,30.0,0.006270671664847556,2,0.0,0.0,188.1008027224058,135.22476181698028,0.03680148684372895,30.0,0.0062655954025345505,2,0.0,0.0,5
7,363.0795681476593,608.9852964878082,0.002136428840458393,5350.105443836376,33.17857069194763,871.5783881584624,1.4335198318638844,0.0,0.007305693745195494,0,5.0,5.0,445.6456755016003,880.1745662427677,0.9665050380781678,35.0,0.007348907240833653,2,0.0,0.0,236.89926880901558,895.5652871979444,1.5729473214185727,0.0,0.00731209079318136,0,5.0,5.0,10.155857124329204,43.17152794111878,0.8349033965551436,35.0,0.00730584100959281,2,0.0,0.0,188.1008027224058,135.22476181698028,0.9979569016211534,35.0,0.007300620914690408,2,0.0,0.0,3
8,343.5195064544678,624.5546245574951,0.006000975146889687,6114.406221527287,33.17857069194763,871.5783881584624,0.6944130332389212,5.0,0.008341039722316236,2,5.0,5.0,445.6456755016003,880.1745662427677,0.3843471655938128,40.0,0.008385089652111868,2,0.0,0.0,236.89926880901558,895.5652871979444,0.7175273459831464,5.0,0.008347403053343265,2,5.0,5.0,10.155857124329204,43.17152794111878,0.39096377945715854,40.0,0.008341991886677188,2,0.0,0.0,188.1008027224058,135.22476181698028,0.41579118467024334,40.0,0.008336662347410631,2,0.0,0.0,5
9,323.95944476127625,640.123952627182,0.08724089711904526,6878.706999218198,33.17857069194763,871.5783881584624,0.060585419262362404,10.0,0.009387106539514384,2,5.0,5.0,445.6456755016003,880.1745662427677,0.028389646046860086,45.0,0.00944444435165222,2,0.0,0.0,236.89926880901558,895.5652871979444,0.06036232351766073,10.0,0.009393513182458308,2,5.0,5.0,10.155857124329204,43.17152794111878,0.031963810559156515,45.0,0.009398550739825387,2,0.0,0.0,188.1008027224058,135.22476181698028,0.030924286142399213,45.0,0.009393967712159577,2,0.0,0.0,5
10,304.3993830680847,655.6932806968689,0.03287927061319351,7643.0077769091085,33.17857069194763,871.5783881584624,0.18023039175317662,15.0,0.010425389830448259,2,5.0,5.0,445.6456755016003,880.1745662427677,0.07698627934805746,50.0,0.010488014456713273,2,0.0,0.0,236.89926880901558,895.5652871979444,0.1824873555549911,15.0,0.010431747653790544,2,5.0,5.0,10.155857124329204,43.17152794111878,0.08154031247900313,50.0,0.010441605679953104,2,0.0,0.0,188.1008027224058,135.22476181698028,0.0778391070419509,50.0,0.010437436757817675,2,0.0,0.0,5
11,284.8393213748932,671.2626099586487,0.08245357871055603,8407.308544628266,33.17857069194763,871.5783881584624,0.08364432105928411,20.0,0.011468225696006277,2,5.0,5.0,445.6456755016003,880.1745662427677,0.03114031624950826,55.0,0.011545160581965362,2,0.0,0.0,236.89926880901558,895.5652871979444,0.08446800348534944,20.0,0.011474500726607472,2,5.0,5.0,10.155857124329204,43.17152794111878,0.03272537303020594,55.0,0.011497647730767993,2,0.0,0.0,188.1008027224058,135.22476181698028,0.030216963392585276,55.0,0.011495279433100936,2,0.0,0.0,5
12,265.27925968170166,686.8319380283356,0.05939679965376854,9171.609322319176,33.17857069194763,871.5783881584624,0.13392916399364196,25.0,0.012507872842486173,2,5.0,5.0,445.6456755016003,880.1745662427677,0.042964630918557345,60.0,0.012596033148337323,2,0.0,0.0,236.89926880901558,895.5652871979444,0.1347355812912312,25.0,0.012514116111464241,2,5.0,5.0,10.155857124329204,43.17152794111878,0.04427988895374684,60.0,0.01254802951953537,2,0.0,0.0,188.1008027224058,135.22476181698028,0.040028545231472236,60.0,0.012547363916827602,2,0.0,0.0,5
13,245.71919798851013,702.4012672901154,0.057436347007751465,9935.910090038333,33.17857069194763,871.5783881584624,0.1619103356320534,30.0,0.013546602662148303,2,5.0,5.0,445.6456755016003,880.1745662427677,0.043521527424104964,65.0,0.013646694293012565,2,0.0,0.0,236.89926880901558,895.5652871979444,0.15983078873203996,30.0,0.013552903074286827,2,5.0,5.0,10.155857124329204,43.17152794111878,0.04477918146034005,65.0,0.013598232549893395,2,0.0,0.0,188.1008027224058,135.22476181698028,0.039550813505119055,65.0,0.01359966261037137,2,0.0,0.0,5
